influencer,video_title,comment_text,like_count,reply_count,days_since_post,sentiment,clean_comment,comment_length,word_count,engagement_score,has_question,has_suggestion
CoachRavi,High Protein Indian Meal Prep,Meal prep ideas are useful and affordable,191,9,10,positive,meal prep ideas are useful and affordable,41,7,209,0,0
CoachRavi,High Protein Indian Meal Prep,This is helpful but please include vegetarian swaps,67,5,10,neutral,this is helpful but please include vegetarian swaps,51,8,77,0,0
CoachRavi,High Protein Indian Meal Prep,Great recipes and very realistic grocery list,129,3,10,positive,great recipes and very realistic grocery list,45,7,135,0,0
CoachRavi,High Protein Indian Meal Prep,Too much emphasis on whey protein brands,39,4,10,negative,too much emphasis on whey protein brands,40,7,47,0,0
CoachRavi,High Protein Indian Meal Prep,Saved this for my weekly prep thank you,112,2,11,positive,saved this for my weekly prep thank you,39,8,116,0,0
CoachRavi,High Protein Indian Meal Prep,Nice video and simple instructions,84,1,11,neutral,nice video and simple instructions,34,5,86,0,0
CoachRavi,How To Fix Push Up Form,Finally someone explained push ups properly,187,13,6,positive,finally someone explained push ups properly,43,6,213,0,0
CoachRavi,How To Fix Push Up Form,My wrists hurt less after using your tips,149,8,6,positive,my wrists hurt less after using your tips,41,8,165,0,0
CoachRavi,How To Fix Push Up Form,This tutorial is detailed and easy to understand,138,6,6,positive,this tutorial is detailed and easy to understand,48,8,150,0,0
CoachRavi,How To Fix Push Up Form,Can you cover incline push ups for beginners next,76,4,6,neutral,can you cover incline push ups for beginners next,49,9,84,0,0
CoachRavi,How To Fix Push Up Form,The audio is low compared to your other videos,32,2,7,negative,the audio is low compared to your other videos,46,9,36,0,0
CoachRavi,How To Fix Push Up Form,Short and straight to the point perfect,117,3,7,positive,short and straight to the point perfect,39,7,123,0,0
CoachRavi,How To Improve Squat Form,I appreciate how realistic and practical your advice is.,126,7,7,positive,i appreciate how realistic and practical your advice is,55,9,140,0,0
CoachRavi,How To Improve Squat Form,"This seems practical, especially for people training at home.",61,4,7,neutral,this seems practical especially for people training at home,59,9,69,0,0
CoachRavi,How To Improve Squat Form,The pacing was off and the key points were easy to miss.,34,5,7,negative,the pacing was off and the key points were easy to miss,55,12,44,0,0
CoachRavi,How To Improve Squat Form,I appreciate how realistic and practical your advice is. The pacing made the point easier to catch.,126,7,7,positive,i appreciate how realistic and practical your advice is the pacing made the point easier to catch,97,17,140,0,0
CoachRavi,How To Improve Squat Form,"This seems practical, especially for people training at home. The pacing made the point easier to catch.",61,4,7,neutral,this seems practical especially for people training at home the pacing made the point easier to catch,101,17,69,0,0
CoachRavi,How To Improve Squat Form,The pacing was off and the key points were easy to miss. The pacing made the point easier to catch.,34,5,7,negative,the pacing was off and the key points were easy to miss the pacing made the point easier to catch,97,20,44,0,0
CoachRavi,How To Improve Squat Form,Useful video and I saved it for later reference. The pacing made the point easier to catch.,57,5,3,neutral,useful video and i saved it for later reference the pacing made the point easier to catch,89,17,67,0,0
CoachRavi,How To Improve Squat Form,I disagree with a few points in the progressive overload section. The pacing made the point easier to catch.,30,6,3,negative,i disagree with a few points in the progressive overload section the pacing made the point easier to catch,106,19,42,0,0
CoachRavi,Push Pull Legs Explained,I appreciate how realistic and practical your advice is.,136,7,3,positive,i appreciate how realistic and practical your advice is,55,9,150,0,0
CoachRavi,Push Pull Legs Explained,"This seems practical, especially for people training at home.",71,4,3,neutral,this seems practical especially for people training at home,59,9,79,0,0
CoachRavi,Push Pull Legs Explained,The pacing was off and the key points were easy to miss.,44,5,3,negative,the pacing was off and the key points were easy to miss,55,12,54,0,0
CoachRavi,Push Pull Legs Explained,I appreciate how realistic and practical your advice is. The pacing made the point easier to catch.,136,7,3,positive,i appreciate how realistic and practical your advice is the pacing made the point easier to catch,97,17,150,0,0
CoachRavi,Push Pull Legs Explained,"This seems practical, especially for people training at home. The pacing made the point easier to catch.",71,4,3,neutral,this seems practical especially for people training at home the pacing made the point easier to catch,101,17,79,0,0
CoachRavi,Push Pull Legs Explained,The pacing was off and the key points were easy to miss. The pacing made the point easier to catch.,44,5,3,negative,the pacing was off and the key points were easy to miss the pacing made the point easier to catch,97,20,54,0,0
CoachRavi,Push Pull Legs Explained,Useful video and I saved it for later reference. The pacing made the point easier to catch.,67,5,13,neutral,useful video and i saved it for later reference the pacing made the point easier to catch,89,17,77,0,0
CoachRavi,Push Pull Legs Explained,I disagree with a few points in the progressive overload section. The pacing made the point easier to catch.,40,6,13,negative,i disagree with a few points in the progressive overload section the pacing made the point easier to catch,106,19,52,0,0
CoachRavi,Resistance Band Home Workout,Your explanation made meal prep so much easier to understand.,131,7,12,positive,your explanation made meal prep so much easier to understand,60,10,145,0,0
CoachRavi,Resistance Band Home Workout,This was helpful and straightforward for a general audience.,66,4,12,neutral,this was helpful and straightforward for a general audience,59,9,74,0,0
CoachRavi,Resistance Band Home Workout,I expected more practical examples instead of general tips.,39,5,12,negative,i expected more practical examples instead of general tips,58,9,49,0,0
CoachRavi,Resistance Band Home Workout,Your explanation made meal prep so much easier to understand. This stood out more than I expected.,131,7,12,positive,your explanation made meal prep so much easier to understand this stood out more than i expected,96,17,145,0,0
CoachRavi,Resistance Band Home Workout,This was helpful and straightforward for a general audience. This stood out more than I expected.,66,4,12,neutral,this was helpful and straightforward for a general audience this stood out more than i expected,95,16,74,0,0
CoachRavi,Resistance Band Home Workout,I expected more practical examples instead of general tips. This stood out more than I expected.,39,5,12,negative,i expected more practical examples instead of general tips this stood out more than i expected,94,16,49,0,0
CoachRavi,Resistance Band Home Workout,Decent upload and the information is easy to apply. This stood out more than I expected.,62,5,8,neutral,decent upload and the information is easy to apply this stood out more than i expected,86,16,72,0,0
CoachRavi,Resistance Band Home Workout,This topic deserved a clearer and more detailed breakdown. This stood out more than I expected.,35,6,8,negative,this topic deserved a clearer and more detailed breakdown this stood out more than i expected,93,16,47,0,0
FitWithMaya,10 Minute Abs Challenge,That burn was real thank you for pushing us,196,10,5,positive,that burn was real thank you for pushing us,43,9,216,0,0
FitWithMaya,10 Minute Abs Challenge,This is my favorite ab workout on the internet,220,11,5,positive,this is my favorite ab workout on the internet,46,9,242,0,0
FitWithMaya,10 Minute Abs Challenge,Good session and nice pacing,88,2,5,neutral,good session and nice pacing,28,5,92,0,0
FitWithMaya,10 Minute Abs Challenge,I wish there was more explanation for lower back safety,57,6,5,negative,i wish there was more explanation for lower back safety,55,10,69,0,0
FitWithMaya,10 Minute Abs Challenge,The timer disappeared for a second on my screen,34,1,6,negative,the timer disappeared for a second on my screen,47,9,36,0,0
FitWithMaya,10 Minute Abs Challenge,Coming back to this every morning before class,132,4,6,positive,coming back to this every morning before class,46,8,140,0,0
FitWithMaya,12 Minute Glute Burner,This workout form video was exactly what I needed today.,120,6,1,positive,this workout form video was exactly what i needed today,55,10,132,0,0
FitWithMaya,12 Minute Glute Burner,"Good video overall, but I would like a bit more detail on workout form.",55,3,1,neutral,good video overall but i would like a bit more detail on workout form,69,14,61,0,0
FitWithMaya,12 Minute Glute Burner,The advice on workout form felt a bit rushed and incomplete.,28,4,1,negative,the advice on workout form felt a bit rushed and incomplete,59,11,36,0,0
FitWithMaya,12 Minute Glute Burner,This workout form video was exactly what I needed today. I am saving this for later.,120,6,1,positive,this workout form video was exactly what i needed today i am saving this for later,82,16,132,0,0
FitWithMaya,12 Minute Glute Burner,"Good video overall, but I would like a bit more detail on workout form. I am saving this for later.",55,3,1,neutral,good video overall but i would like a bit more detail on workout form i am saving this for later,96,20,61,0,0
FitWithMaya,12 Minute Glute Burner,The advice on workout form felt a bit rushed and incomplete. I am saving this for later.,28,4,1,negative,the advice on workout form felt a bit rushed and incomplete i am saving this for later,86,17,36,0,0
FitWithMaya,15 Minute Fat Burn Workout,This workout was amazing and easy to follow,182,9,2,positive,this workout was amazing and easy to follow,43,8,200,0,0
FitWithMaya,15 Minute Fat Burn Workout,I actually finished the whole routine and feel great,140,6,2,positive,i actually finished the whole routine and feel great,52,9,152,0,0
FitWithMaya,15 Minute Fat Burn Workout,Your cues are so clear and motivating,127,4,2,positive,your cues are so clear and motivating,37,7,135,0,0
FitWithMaya,15 Minute Fat Burn Workout,Love this session my legs are shaking in the best way,211,12,2,positive,love this session my legs are shaking in the best way,53,11,235,0,0
FitWithMaya,15 Minute Fat Burn Workout,Best home workout channel on YouTube honestly,245,14,2,positive,best home workout channel on youtube honestly,45,7,273,0,0
FitWithMaya,15 Minute Fat Burn Workout,This video helped me get back into exercise after months,164,5,3,positive,this video helped me get back into exercise after months,56,10,174,0,0
FitWithMaya,15 Minute Fat Burn Workout,Great energy and perfect timing between sets,119,3,3,positive,great energy and perfect timing between sets,44,7,125,0,0
FitWithMaya,15 Minute Fat Burn Workout,The workout is solid but the music is too loud,51,7,3,negative,the workout is solid but the music is too loud,46,10,65,0,0
FitWithMaya,15 Minute Fat Burn Workout,I like the routine but some moves need beginner options,48,5,3,neutral,i like the routine but some moves need beginner options,55,10,58,0,0
FitWithMaya,15 Minute Fat Burn Workout,Can you make a version for small apartments,65,2,4,neutral,can you make a version for small apartments,43,8,69,0,0
FitWithMaya,Beginner Friendly Full Body Session,This helped me stay consistent with my training this week.,135,6,2,positive,this helped me stay consistent with my training this week,57,10,147,0,0
FitWithMaya,Beginner Friendly Full Body Session,"I liked the structure, but a few more examples would be nice.",70,3,2,neutral,i liked the structure but a few more examples would be nice,59,12,76,0,0
FitWithMaya,Beginner Friendly Full Body Session,Too much promotion and not enough actual coaching in this upload.,43,4,2,negative,too much promotion and not enough actual coaching in this upload,64,11,51,0,0
FitWithMaya,Beginner Friendly Full Body Session,This helped me stay consistent with my training this week. This would help a lot of beginners.,135,6,2,positive,this helped me stay consistent with my training this week this would help a lot of beginners,92,17,147,0,0
FitWithMaya,Beginner Friendly Full Body Session,"I liked the structure, but a few more examples would be nice. This would help a lot of beginners.",70,3,2,neutral,i liked the structure but a few more examples would be nice this would help a lot of beginners,94,19,76,0,0
FitWithMaya,Beginner Friendly Full Body Session,Too much promotion and not enough actual coaching in this upload. This would help a lot of beginners.,43,4,2,negative,too much promotion and not enough actual coaching in this upload this would help a lot of beginners,99,18,51,0,0
FitWithMaya,Healthy Meal Prep for Fat Loss,This workout form video was exactly what I needed today.,130,6,11,positive,this workout form video was exactly what i needed today,55,10,142,0,0
FitWithMaya,Healthy Meal Prep for Fat Loss,"Good video overall, but I would like a bit more detail on workout form.",65,3,11,neutral,good video overall but i would like a bit more detail on workout form,69,14,71,0,0
FitWithMaya,Healthy Meal Prep for Fat Loss,The advice on workout form felt a bit rushed and incomplete.,38,4,11,negative,the advice on workout form felt a bit rushed and incomplete,59,11,46,0,0
FitWithMaya,Healthy Meal Prep for Fat Loss,This workout form video was exactly what I needed today. I am saving this for later.,130,6,11,positive,this workout form video was exactly what i needed today i am saving this for later,82,16,142,0,0
FitWithMaya,Healthy Meal Prep for Fat Loss,"Good video overall, but I would like a bit more detail on workout form. I am saving this for later.",65,3,11,neutral,good video overall but i would like a bit more detail on workout form i am saving this for later,96,20,71,0,0
FitWithMaya,Healthy Meal Prep for Fat Loss,The advice on workout form felt a bit rushed and incomplete. I am saving this for later.,38,4,11,negative,the advice on workout form felt a bit rushed and incomplete i am saving this for later,86,17,46,0,0
FitWithMaya,Low Impact Morning Workout,This helped me stay consistent with my training this week.,125,6,6,positive,this helped me stay consistent with my training this week,57,10,137,0,0
FitWithMaya,Low Impact Morning Workout,"I liked the structure, but a few more examples would be nice.",60,3,6,neutral,i liked the structure but a few more examples would be nice,59,12,66,0,0
FitWithMaya,Low Impact Morning Workout,Too much promotion and not enough actual coaching in this upload.,33,4,6,negative,too much promotion and not enough actual coaching in this upload,64,11,41,0,0
FitWithMaya,Low Impact Morning Workout,This helped me stay consistent with my training this week. This would help a lot of beginners.,125,6,6,positive,this helped me stay consistent with my training this week this would help a lot of beginners,92,17,137,0,0
FitWithMaya,Low Impact Morning Workout,"I liked the structure, but a few more examples would be nice. This would help a lot of beginners.",60,3,6,neutral,i liked the structure but a few more examples would be nice this would help a lot of beginners,94,19,66,0,0
FitWithMaya,Low Impact Morning Workout,Too much promotion and not enough actual coaching in this upload. This would help a lot of beginners.,33,4,6,negative,too much promotion and not enough actual coaching in this upload this would help a lot of beginners,99,18,41,0,0
FitWithMaya,What I Eat In A Day,Healthy meal ideas and realistic portions loved this,175,8,8,positive,healthy meal ideas and realistic portions loved this,52,8,191,0,0
FitWithMaya,What I Eat In A Day,This gave me simple ideas for meal prep,121,2,8,positive,this gave me simple ideas for meal prep,39,8,125,0,0
FitWithMaya,What I Eat In A Day,The recipes look good but macros would help,53,3,8,neutral,the recipes look good but macros would help,43,8,59,0,0
FitWithMaya,What I Eat In A Day,Too many supplement mentions in one video,46,4,8,negative,too many supplement mentions in one video,41,7,54,0,0
IronLex,30 Day Strength Challenge,This challenge has kept me consistent for two weeks,210,12,1,positive,this challenge has kept me consistent for two weeks,51,9,234,0,0
IronLex,30 Day Strength Challenge,Your programming is elite and actually progressive,188,9,1,positive,your programming is elite and actually progressive,50,7,206,0,0
IronLex,30 Day Strength Challenge,I appreciate that you include rest day advice,144,6,1,positive,i appreciate that you include rest day advice,45,8,156,0,0
IronLex,30 Day Strength Challenge,The challenge looks good but it may be intense for beginners,71,4,2,neutral,the challenge looks good but it may be intense for beginners,60,11,79,0,0
IronLex,30 Day Strength Challenge,The intro is too long just get to the workout,49,5,2,negative,the intro is too long just get to the workout,45,10,59,0,0
IronLex,30 Day Strength Challenge,Best strength creator on the platform right now,236,15,2,positive,best strength creator on the platform right now,47,8,266,0,0
IronLex,Bulking Diet Mistakes,This saved me from wasting money on junk calories,166,7,9,positive,this saved me from wasting money on junk calories,49,9,180,0,0
IronLex,Bulking Diet Mistakes,The advice is solid but the meal examples are repetitive,58,4,9,neutral,the advice is solid but the meal examples are repetitive,56,10,66,0,0
IronLex,Bulking Diet Mistakes,Very honest take on dirty bulking thanks,141,5,9,positive,very honest take on dirty bulking thanks,40,7,151,0,0
IronLex,Bulking Diet Mistakes,I disagree with the section on peanut butter portions,43,6,9,negative,i disagree with the section on peanut butter portions,53,9,55,0,0
IronLex,Bulking Diet Mistakes,Please make a cutting version of this video,77,3,10,neutral,please make a cutting version of this video,43,8,83,0,0
IronLex,Bulking Diet Mistakes,One of the most useful nutrition videos this month,122,2,10,positive,one of the most useful nutrition videos this month,50,9,126,0,0
IronLex,Bulking Diet Mistakes,The sponsor segment was way too long,35,4,10,negative,the sponsor segment was way too long,36,7,43,0,0
IronLex,Cutting Diet Mistakes,One of the best fitness uploads on this channel so far.,122,8,3,positive,one of the best fitness uploads on this channel so far,54,11,138,0,0
IronLex,Cutting Diet Mistakes,"Nice explanation, though a beginner version would also help.",57,5,3,neutral,nice explanation though a beginner version would also help,58,9,67,0,0
IronLex,Cutting Diet Mistakes,The camera angle made the exercise demonstration hard to follow.,30,6,3,negative,the camera angle made the exercise demonstration hard to follow,63,10,42,0,0
IronLex,Cutting Diet Mistakes,One of the best fitness uploads on this channel so far. I would watch a follow up on this.,122,8,3,positive,one of the best fitness uploads on this channel so far i would watch a follow up on this,88,19,138,0,0
IronLex,Cutting Diet Mistakes,"Nice explanation, though a beginner version would also help. I would watch a follow up on this.",57,5,3,neutral,nice explanation though a beginner version would also help i would watch a follow up on this,92,17,67,0,0
IronLex,Cutting Diet Mistakes,The camera angle made the exercise demonstration hard to follow. I would watch a follow up on this.,30,6,3,negative,the camera angle made the exercise demonstration hard to follow i would watch a follow up on this,97,18,42,0,0
IronLex,Cutting Diet Mistakes,"The advice makes sense, though I still have a few questions. I would watch a follow up on this.",69,7,1,neutral,the advice makes sense though i still have a few questions i would watch a follow up on this,92,19,83,0,0
IronLex,Cutting Diet Mistakes,The editing cuts made it harder to stay focused on the explanation. I would watch a follow up on this.,42,8,1,negative,the editing cuts made it harder to stay focused on the explanation i would watch a follow up on this,100,20,58,0,0
IronLex,Hypertrophy Training Fundamentals,"Amazing content, especially the way you explained form cues.",127,8,8,positive,amazing content especially the way you explained form cues,58,9,143,0,0
IronLex,Hypertrophy Training Fundamentals,Could you make a follow up focused only on protein intake next time?,62,5,8,neutral,could you make a follow up focused only on protein intake next time,67,13,72,1,0
IronLex,Hypertrophy Training Fundamentals,I wish this had more safety guidance for beginners.,35,6,8,negative,i wish this had more safety guidance for beginners,50,9,47,0,0
IronLex,Hypertrophy Training Fundamentals,"Amazing content, especially the way you explained form cues. I noticed this immediately while watching.",127,8,8,positive,amazing content especially the way you explained form cues i noticed this immediately while watching,100,15,143,0,0
IronLex,Hypertrophy Training Fundamentals,Could you make a follow up focused only on protein intake next time? I noticed this immediately while watching.,62,5,8,neutral,could you make a follow up focused only on protein intake next time i noticed this immediately while watching,109,19,72,1,0
IronLex,Hypertrophy Training Fundamentals,I wish this had more safety guidance for beginners. I noticed this immediately while watching.,35,6,8,negative,i wish this had more safety guidance for beginners i noticed this immediately while watching,92,15,47,0,0
IronLex,Hypertrophy Training Fundamentals,This one felt repetitive compared to your better videos. I noticed this immediately while watching.,47,8,6,negative,this one felt repetitive compared to your better videos i noticed this immediately while watching,97,15,63,0,0
IronLex,Science Based Leg Day,Excellent explanation of volume and recovery,174,8,4,positive,excellent explanation of volume and recovery,44,6,190,0,0
IronLex,Science Based Leg Day,This helped me understand why my squat progress stalled,151,6,4,positive,this helped me understand why my squat progress stalled,55,9,163,0,0
IronLex,Science Based Leg Day,Very informative and backed by good reasoning,128,4,4,positive,very informative and backed by good reasoning,45,7,136,0,0
IronLex,Science Based Leg Day,Could you list the studies in the description next time,82,7,4,neutral,could you list the studies in the description next time,55,10,96,0,0
IronLex,Science Based Leg Day,The edit cuts are distracting in this one,37,3,5,negative,the edit cuts are distracting in this one,41,8,43,0,0
IronLex,Science Based Leg Day,Love how evidence based your content feels,159,5,5,positive,love how evidence based your content feels,42,7,169,0,0
IronLex,Science Based Muscle Gain Tips,One of the best fitness uploads on this channel so far.,132,8,13,positive,one of the best fitness uploads on this channel so far,54,11,148,0,0
IronLex,Science Based Muscle Gain Tips,"Nice explanation, though a beginner version would also help.",67,5,13,neutral,nice explanation though a beginner version would also help,58,9,77,0,0
IronLex,Science Based Muscle Gain Tips,The camera angle made the exercise demonstration hard to follow.,40,6,13,negative,the camera angle made the exercise demonstration hard to follow,63,10,52,0,0
IronLex,Science Based Muscle Gain Tips,One of the best fitness uploads on this channel so far. I would watch a follow up on this.,132,8,13,positive,one of the best fitness uploads on this channel so far i would watch a follow up on this,88,19,148,0,0
IronLex,Science Based Muscle Gain Tips,"Nice explanation, though a beginner version would also help. I would watch a follow up on this.",67,5,13,neutral,nice explanation though a beginner version would also help i would watch a follow up on this,92,17,77,0,0
IronLex,Science Based Muscle Gain Tips,The camera angle made the exercise demonstration hard to follow. I would watch a follow up on this.,40,6,13,negative,the camera angle made the exercise demonstration hard to follow i would watch a follow up on this,97,18,52,0,0
IronLex,Science Based Muscle Gain Tips,"The advice makes sense, though I still have a few questions. I would watch a follow up on this.",59,7,5,neutral,the advice makes sense though i still have a few questions i would watch a follow up on this,92,19,73,0,0
IronLex,Science Based Muscle Gain Tips,The editing cuts made it harder to stay focused on the explanation. I would watch a follow up on this.,32,8,5,negative,the editing cuts made it harder to stay focused on the explanation i would watch a follow up on this,100,20,48,0,0
IronLex,Upper Body Strength Session,"Amazing content, especially the way you explained form cues.",137,8,4,positive,amazing content especially the way you explained form cues,58,9,153,0,0
IronLex,Upper Body Strength Session,Could you make a follow up focused only on protein intake next time?,72,5,4,neutral,could you make a follow up focused only on protein intake next time,67,13,82,1,0
IronLex,Upper Body Strength Session,I wish this had more safety guidance for beginners.,45,6,4,negative,i wish this had more safety guidance for beginners,50,9,57,0,0
IronLex,Upper Body Strength Session,"Amazing content, especially the way you explained form cues. I noticed this immediately while watching.",137,8,4,positive,amazing content especially the way you explained form cues i noticed this immediately while watching,100,15,153,0,0
IronLex,Upper Body Strength Session,Could you make a follow up focused only on protein intake next time? I noticed this immediately while watching.,72,5,4,neutral,could you make a follow up focused only on protein intake next time i noticed this immediately while watching,109,19,82,1,0
IronLex,Upper Body Strength Session,I wish this had more safety guidance for beginners. I noticed this immediately while watching.,45,6,4,negative,i wish this had more safety guidance for beginners i noticed this immediately while watching,92,15,57,0,0
IronLex,Upper Body Strength Session,"The content is solid, but timestamps would make it easier to follow. I noticed this immediately while watching.",64,7,10,neutral,the content is solid but timestamps would make it easier to follow i noticed this immediately while watching,108,18,78,0,0
IronLex,Upper Body Strength Session,This one felt repetitive compared to your better videos. I noticed this immediately while watching.,37,8,10,negative,this one felt repetitive compared to your better videos i noticed this immediately while watching,97,15,53,0,0
JeetSelal,Best Workout Split for Natural Lifters,I tried this routine and the results already feel promising.,133,9,14,positive,i tried this routine and the results already feel promising,59,10,151,0,0
JeetSelal,Best Workout Split for Natural Lifters,"The content is solid, but timestamps would make it easier to follow.",68,6,14,neutral,the content is solid but timestamps would make it easier to follow,66,12,80,0,0
JeetSelal,Best Workout Split for Natural Lifters,This one felt repetitive compared to your better videos.,41,7,14,negative,this one felt repetitive compared to your better videos,55,9,55,0,0
JeetSelal,Best Workout Split for Natural Lifters,I tried this routine and the results already feel promising. This feels relevant for natural lifters too.,133,9,14,positive,i tried this routine and the results already feel promising this feels relevant for natural lifters too,103,17,151,0,0
JeetSelal,Best Workout Split for Natural Lifters,"The content is solid, but timestamps would make it easier to follow. This feels relevant for natural lifters too.",68,6,14,neutral,the content is solid but timestamps would make it easier to follow this feels relevant for natural lifters too,110,19,80,0,0
JeetSelal,Best Workout Split for Natural Lifters,This one felt repetitive compared to your better videos. This feels relevant for natural lifters too.,41,7,14,negative,this one felt repetitive compared to your better videos this feels relevant for natural lifters too,99,16,55,0,0
JeetSelal,Best Workout Split for Natural Lifters,Could you make a follow up focused only on meal prep next time? This feels relevant for natural lifters too.,56,4,2,neutral,could you make a follow up focused only on meal prep next time this feels relevant for natural lifters too,106,20,64,1,0
JeetSelal,Best Workout Split for Natural Lifters,I wish this had more safety guidance for beginners. This feels relevant for natural lifters too.,29,5,2,negative,i wish this had more safety guidance for beginners this feels relevant for natural lifters too,94,16,39,0,0
JeetSelal,Fat Loss Cardio vs Weights,I tried this routine and the results already feel promising.,123,9,4,positive,i tried this routine and the results already feel promising,59,10,141,0,0
JeetSelal,Fat Loss Cardio vs Weights,"The content is solid, but timestamps would make it easier to follow.",58,6,4,neutral,the content is solid but timestamps would make it easier to follow,66,12,70,0,0
JeetSelal,Fat Loss Cardio vs Weights,This one felt repetitive compared to your better videos.,31,7,4,negative,this one felt repetitive compared to your better videos,55,9,45,0,0
JeetSelal,Fat Loss Cardio vs Weights,I tried this routine and the results already feel promising. This feels relevant for natural lifters too.,123,9,4,positive,i tried this routine and the results already feel promising this feels relevant for natural lifters too,103,17,141,0,0
JeetSelal,Fat Loss Cardio vs Weights,"The content is solid, but timestamps would make it easier to follow. This feels relevant for natural lifters too.",58,6,4,neutral,the content is solid but timestamps would make it easier to follow this feels relevant for natural lifters too,110,19,70,0,0
JeetSelal,Fat Loss Cardio vs Weights,This one felt repetitive compared to your better videos. This feels relevant for natural lifters too.,31,7,4,negative,this one felt repetitive compared to your better videos this feels relevant for natural lifters too,99,16,45,0,0
JeetSelal,Fat Loss Cardio vs Weights,Could you make a follow up focused only on meal prep next time? This feels relevant for natural lifters too.,66,4,12,neutral,could you make a follow up focused only on meal prep next time this feels relevant for natural lifters too,106,20,74,1,0
JeetSelal,Fat Loss Cardio vs Weights,I wish this had more safety guidance for beginners. This feels relevant for natural lifters too.,39,5,12,negative,i wish this had more safety guidance for beginners this feels relevant for natural lifters too,94,16,49,0,0
JeetSelal,How To Stay Motivated in the Gym,This is now part of my regular workout rotation.,138,9,5,positive,this is now part of my regular workout rotation,47,9,156,0,0
JeetSelal,How To Stay Motivated in the Gym,"The advice makes sense, though I still have a few questions.",73,6,5,neutral,the advice makes sense though i still have a few questions,58,11,85,0,0
JeetSelal,How To Stay Motivated in the Gym,The editing cuts made it harder to stay focused on the explanation.,46,7,5,negative,the editing cuts made it harder to stay focused on the explanation,66,12,60,0,0
JeetSelal,How To Stay Motivated in the Gym,"The advice makes sense, though I still have a few questions. This is useful for people training at home.",73,6,5,neutral,the advice makes sense though i still have a few questions this is useful for people training at home,101,19,85,0,0
JeetSelal,How To Stay Motivated in the Gym,The editing cuts made it harder to stay focused on the explanation. This is useful for people training at home.,46,7,5,negative,the editing cuts made it harder to stay focused on the explanation this is useful for people training at home,109,20,60,0,0
JeetSelal,How To Stay Motivated in the Gym,"Nice explanation, though a beginner version would also help. This is useful for people training at home.",61,4,7,neutral,nice explanation though a beginner version would also help this is useful for people training at home,101,17,69,0,0
JeetSelal,How To Stay Motivated in the Gym,The camera angle made the exercise demonstration hard to follow. This is useful for people training at home.,34,5,7,negative,the camera angle made the exercise demonstration hard to follow this is useful for people training at home,106,18,44,0,0
JeetSelal,Indian Bulking Diet Reality,This is now part of my regular workout rotation.,128,9,9,positive,this is now part of my regular workout rotation,47,9,146,0,0
JeetSelal,Indian Bulking Diet Reality,"The advice makes sense, though I still have a few questions.",63,6,9,neutral,the advice makes sense though i still have a few questions,58,11,75,0,0
